2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal width 32767
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ip address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ipv6 address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ip address 172.20.20.3/24
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ipv6 address 2001:172:20:20::3/64
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=end
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=exit
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host rr2 10.0.0.2 10.1.0.10 10.1.0.14
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host x1 10.0.0.5 10.1.0.18 10.1.0.34
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host c11 10.0.0.6 10.1.0.21
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host c12 10.0.0.7 10.1.0.25
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host c21 10.0.0.8 10.1.0.29
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip host cx1 10.0.0.9 10.1.0.33
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Loopback0
2022 Feb 13 12:01:18 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.0.0.1/32
2022 Feb 13 12:01:19 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:01:19 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no lldp transmit
2022 Feb 13 12:01:19 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no lldp receive
2022 Feb 13 12:01:19 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet1
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no switchport
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=description rr1 -> pe1
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.1.0.2/30
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mac-address 52dc.cafe.0101
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet2
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no switchport
2022 Feb 13 12:01:20 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=description rr1 -> pe2
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.1.0.6/30
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mac-address 52dc.cafe.0102
