2022 Feb 13 11:59:58                                      stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=15 cmd=terminal width 32767
2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:00:02                                      stop   service=shell priv-lvl=15 cmd=no ip address
2022 Feb 13 12:00:02                                      stop   service=shell priv-lvl=15 cmd=no ipv6 address
2022 Feb 13 12:00:02                                      stop   service=shell priv-lvl=15 cmd=ip address 172.20.20.10/24
2022 Feb 13 12:00:02                                      stop   service=shell priv-lvl=15 cmd=ipv6 address 2001:172:20:20::a/64
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=end
2022 Feb 13 12:01:19 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no lldp transmit
2022 Feb 13 12:01:19 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no lldp receive
2022 Feb 13 12:01:19 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet1
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no switchport
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=description x1 -> rr1 [external]
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.1.0.18/30
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mac-address 52dc.cafe.0501
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet2
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:01:20 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no switchport
2022 Feb 13 12:01:21 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=description x1 -> cx1
2022 Feb 13 12:01:21 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.1.0.34/30
2022 Feb 13 12:01:21 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mac-address 52dc.cafe.0502
2022 Feb 13 12:01:21 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show session-config diffs
2022 Feb 13 12:01:21 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=commit
