2022 Feb 13 12:00:04                                      stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:00:04                                      stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:00:04                                      stop   service=shell priv-lvl=15 cmd=terminal width 32767
2022 Feb 13 12:00:04                                      stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:00:05                                      stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:00:06                                      stop   service=shell priv-lvl=15 cmd=no ip address
2022 Feb 13 12:00:06                                      stop   service=shell priv-lvl=15 cmd=no ipv6 address
2022 Feb 13 12:00:06                                      stop   service=shell priv-lvl=15 cmd=ip address 172.20.20.4/24
2022 Feb 13 12:00:06                                      stop   service=shell priv-lvl=15 cmd=ipv6 address 2001:172:20:20::4/64
2022 Feb 13 12:00:06                                      stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:00:08                                      stop   service=shell priv-lvl=15 cmd=end
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=bgp route-reflector preserve-attributes
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 remote-as 65000
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 description rr1
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 update-source Loopback0
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 next-hop-self
2022 Feb 13 12:01:33 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 send-community standard extended
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 remote-as 65000
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 description pe1
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 update-source Loopback0
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 next-hop-self
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 route-reflector-client
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 send-community standard extended
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 remote-as 65000
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 description pe2
2022 Feb 13 12:01:34 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 update-source Loopback0
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 next-hop-self
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 route-reflector-client
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 send-community standard extended
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=address-family ipv4
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.1 activate
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.3 activate
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 activate
2022 Feb 13 12:01:35 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show session-config diffs
2022 Feb 13 12:01:36 admin    vty26       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=commit
